item_id,item_name,purchase_price,quantity_purchased,sale_price,quantity_sold,date
12492,STYE EYE LUBR 0.125OZ TUBE,3.6075,1776,4.3,4224,01/13/25
13718,DICKINSON WH PORE PERFECTING TONER,2,228,2.7,228,05/06/25
138,ENSURE RTU CHOCOLATE FLAVOR,1.2283,4992,1.48,3504,06/30/25
14174,ENR 522BP.M2 MAX 9V1,1.4883,4776,1.67,4776,05/29/25
14264,ENR ECR2025BP.BC WATCH BATTERY,0.4034,6048,0.42,6048,10/17/24
14348,ENR E93BP4.D1 MAX C4 CLAM EMOD,3.2133,1404,3.37,1404,12/06/24
144,ENSURE RTU STRAWBERRY FLAVOR,1.2283,4992,1.48,3504,06/30/25
146,ENSURE RTU ORIGINAL VANILLA,1.2283,49920,1.48,7200,06/30/25
14908,FLEET ADULT MINERAL OIL 4.5OZ ENEMA,1.2869,96,1.44,624,01/28/25
14914,FLEET ADULT GLYC 12CT SUPPOS,0.7867,24,0.99,24,03/11/25
14992,SE FRSH SCENT 4.5OZ DOUCHE,0.585,72,0.74,12,03/11/25
236875,CLUBMAN ORIGINAL AFTER SHAVE LOT,2.1983,5040,2.21,5028,05/02/25
237427,LA LOOKS SPORT XTRA HLD GEL WS,1.65,4800,1.8,2400,06/26/25
237956,WO AB FRESH SCENT,1.26,3600,1.34,3600,04/09/25
238464,LOZENGES WILD CHRRY 18CT LOZ,1.72,72,1.89,2556,04/14/25
238466,CHLORA MENTHOL 6OZ SPRY,2.9315,540,3.42,576,02/27/25
239996,AMPRO PRO STYL STYLING GEL REGULAR,0.94,120,0.88,6288,01/15/24
240003,SSC D&L FADE RESIST LT GOLDEN BLOND,0,0,3.61,12,05/15/24
240004,SSC LETS JAM SHINE&COND GEL EX HLD,0,0,2.4,6,05/15/24
243533,WD-40 3IN1 OIL MULTI-PRPS # 10135,1.044,5760,1.33,5760,11/05/24
243682,LA LOOKS MEGA MEGA HOLD GEL,1.6,19200,1.58,1920,08/29/24
244341,NISSIN TOP RAMEN CHICKEN 1X24,0.2908,18720,0.35,720,06/03/25
244374,DEL MONTE MIXED VEGETABLES,1.225,360,1.48,360,06/10/24
244444,DEL MONTE FRUIT COCKTAIL,1.0667,240,1.28,240,06/10/24
244965,DEL MONTE SPEC BLNDS PEAS & CARROT,0.8125,240,0.97,240,06/10/24
245649,LOZENGES CITRUS 18CT LOZ,1.92,36,2.89,36,07/09/24
246286,NISSIN CUP NOODLES CHICKEN 1X12,0.4575,4800,0.55,720,06/03/25
246309,(DISC) CE RDNSS RLF 1OZ DRP,3.15,7128,3.26,1560,01/28/25
246481,OXY DLY CLNSG MAX PADS,2.48,4080,3.1,4080,06/25/25
246696,SE ISL SPLASH 2PK 9OZ DOUCHE,1.538,720,1.59,720,10/07/24
246822,LITTLE REMEDIES SLN 1OZ SPRY DRP,1.5535,360,1.83,936,01/28/25
247224,9 LIVES SUPER SUPPER,0.4375,5376,0.5,5376,03/26/24
247229,9 LIVES CHICKEN DINNER,0.4375,6048,0.53,22,08/27/24
247230,9 LIVES CHK/TUNA DINNER,0.4437,5376,0.53,4,08/27/24
248475,FLEET ADULT SINGLE XTRA 7.8OZ ENEMA,1.066,600,1.34,48,03/11/25
249190,SE SENS 32CT CLNSG CLOTH,2.0215,264,2.38,756,01/28/25
249477,CLEAR EYES RED RLF 0.5OZ DRP,1.9565,1620,2.48,540,01/28/25
250028,CLR BRILLIANT BATH CLEANER,0,0,3.95,12,11/08/24
250036,CLEAR EYES TRIPLE ACTION 0.5OZ DRP,2.34,3168,2.42,3168,03/19/24
255941,SSC MAGIC SHAVE SMOOTH CREAM SHAVE,0,0,3.7,48,05/13/25
256082,CLST SSNG SLEEPYTIME,1.1583,1632,1.36,1632,11/22/24
256083,CLST SSNG PEPPERMINT,1.08,1632,1.36,1632,11/22/24
256084,CLST SSNG CINNAMON APPLE SPICE,1.6,8364,2,12,03/11/25
256085,CLST SSNG RASPBERRY ZINGER,1.35,8160,1.36,8160,11/22/24
256086,CLST SSNG LEMON ZINGER,1.29,5712,1.55,30,09/25/24
256087,CLST SSNG TENSION TAMER,1.4516,3264,1.74,30,09/25/24
256088,CLST SSNG FRUIT SAMPLER,1.9516,6708,1.48,0,06/17/24
256089,ENR EL123APBP.B1 3V LITHIUM 1PK,2.3566,1032,2.45,1032,10/17/24
256409,CLST SSNG HERBAL TEA SAMPLER,1.6983,4080,2.04,84,09/25/24
256410,CLST SSNG WILD BERRY ZINGER,1.2717,4896,1.36,4896,11/22/24
256742,SE SENS 9OZ CLNSG WASH,1.6445,840,1.92,1152,04/08/25
259675,SE DEL BLSSM 9OZ CLNSG WASH,1.6445,216,1.89,984,02/27/25
259962,PERT PLUS 13.5 OZ 2IN1 HPY MEDM,1.6,9930,1.75,6060,06/26/25
259996,SUMMERS EVE SENS CLNSG CLOTH,1.0592,3600,1.17,3600,04/01/24
260317,ROHTO COOL EYE DROPS,3.15,6720,3.46,6720,06/25/25
262190,ENR 522BP2.M2 MAX 9V2,2.3692,2400,2.61,2400,05/29/25
262580,YARDLEY ENG LVNDR BAR,0.67,19008,0.7,19008,07/07/25
266115,CLST SSNG CHAMOMILE,1.14,11424,1.37,30,09/25/24
266116,CLST SSNG HONEY VANILLA CHAMOMILE,1.31,8160,1.36,8160,11/22/24
266511,ENR ECR2032BP.CH 2032 BATTERY,0.4033,3888,0.44,3888,05/20/25
266518,ENR E95BP4.D1 MAX D4 CLAM EMOD,4.5042,432,4.97,432,05/29/25
269763,DENTEK TRPL CLN 90CT FLS PICK,1.0661,144,1.24,1008,01/28/25
269813,EVR 1215SW4.01 SHD AA4 SHRINKWRAP,0.908,960,0.93,960,07/16/24
